Record Length,2.500000e+03,,  -0.125000000000,  -0.00760,
Sample Interval,1.000000e-04,,  -0.124900000000,  -0.00520,
Trigger Point,1.250000000000e+03,,  -0.124800000000,  -0.00500,
,,,  -0.124700000000,  -0.00320,
,,,  -0.124600000000,  -0.00020,
,,,  -0.124500000000,   0.00060,
Source,CH1,,  -0.124400000000,   0.00200,
Vertical Units,V,,  -0.124300000000,   0.00200,
Vertical Scale,5.000000e-03,,  -0.124200000000,   0.00320,
Vertical Offset,0.000000e+00,,  -0.124100000000,   0.00160,
Horizontal Units,s,,  -0.124000000000,   0.00260,
Horizontal Scale,2.500000e-02,,  -0.123900000000,   0.00040,
Pt Fmt,Y,,  -0.123800000000,  -0.00120,
Yzero,0.000000e+00,,  -0.123700000000,  -0.00060,
Probe Atten,1.000000e+00,,  -0.123600000000,  -0.00060,
Model Number,TBS1052B-EDU,,  -0.123500000000,  -0.00020,
Serial Number,C027378,,  -0.123400000000,  -0.00100,
Firmware Version,FV:v4.06,,  -0.123300000000,  -0.00180,
,,,-00.123200000000,  -0.00100,
,,,-00.123100000000,   0.00060,
,,,-00.123000000000,   0.00000,
,,,-00.122900000000,   0.00180,
,,,-00.122800000000,   0.00100,
,,,-00.122700000000,   0.00160,
,,,-00.122600000000,   0.00080,
,,,-00.122500000000,   0.00060,
,,,-00.122400000000,   0.00280,
,,,-00.122300000000,   0.00220,
,,,-00.122200000000,   0.00160,
,,,-00.122100000000,   0.00300,
,,,-00.122000000000,   0.00220,
,,,-00.121900000000,   0.00300,
,,,-00.121800000000,   0.00360,
,,,-00.121700000000,   0.00140,
,,,-00.121600000000,   0.00280,
,,,-00.121500000000,   0.00460,
,,,-00.121400000000,   0.00460,
,,,-00.121300000000,   0.00500,
,,,-00.121200000000,   0.00640,
,,,-00.121100000000,   0.00700,
,,,-00.121000000000,   0.00860,
,,,-00.120900000000,   0.00940,
,,,-00.120800000000,   0.00980,
,,,-00.120700000000,   0.00640,
,,,-00.120600000000,   0.00560,
,,,-00.120500000000,   0.00500,
,,,-00.120400000000,   0.00320,
,,,-00.120300000000,   0.00300,
,,,-00.120200000000,   0.00320,
,,,-00.120100000000,   0.00020,
,,,-00.120000000000,   0.00140,
,,,-00.119900000000,   0.00220,
,,,-00.119800000000,   0.00120,
,,,-00.119700000000,   0.00100,
,,,-00.119600000000,   0.00300,
,,,-00.119500000000,   0.00380,
,,,-00.119400000000,   0.00260,
,,,-00.119300000000,   0.00400,
,,,-00.119200000000,   0.00160,
,,,-00.119100000000,  -0.00160,
,,,-00.119000000000,  -0.00060,
,,,-00.118900000000,   0.00260,
