V,mV(1),mV(2)
0,6.08,7.6
1,7.24,7.6
2,12,15.6
3,13.8,14.6
4,17.6,18.2
5,20,22.8
6,22,24.8
7,22.4,28
8,26.8,27.6
9,28,30
10,32,31.2
11,37.6,37.2
12,36.8,38.4
13,40,41.6
14,41.6,40.8
15,44,46.4
16,48,50.4
17,49.6,48.8
18,50,52.8
19,54,55.2
20,56,58.4
