Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,0.2,,0.1,,0.1,,0.1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,0.516,0.5,0.046,0.018,0.184,0.18,0.202,0.194
-9.995e-04,0.508,0.516,0.022,0.054,0.192,0.2,0.206,0.218
-9.991e-04,0.508,0.5,0.026,-0.002,0.192,0.172,0.206,0.194
-9.987e-04,0.508,0.516,0.014,0.034,0.184,0.2,0.198,0.214
-9.983e-04,0.508,0.5,0.006,-0.018,0.184,0.172,0.194,0.19
-9.979e-04,0.5,0.508,-0.002,0.01,0.18,0.192,0.198,0.206
-9.975e-04,0.508,0.5,-0.002,-0.022,0.176,0.168,0.198,0.182
-9.972e-04,0.508,0.508,-0.018,-0.002,0.176,0.188,0.19,0.206
-9.968e-04,0.508,0.492,-0.014,-0.03,0.168,0.16,0.198,0.178
-9.964e-04,0.5,0.508,-0.022,-0.006,0.172,0.188,0.186,0.202
-9.960e-04,0.5,0.5,-0.014,-0.034,0.172,0.156,0.186,0.174
-9.956e-04,0.5,0.508,-0.022,-0.014,0.172,0.18,0.186,0.194
-9.952e-04,0.5,0.492,-0.03,-0.038,0.168,0.152,0.182,0.166
-9.948e-04,0.5,0.508,-0.026,-0.018,0.16,0.172,0.17,0.186
-9.945e-04,0.5,0.492,-0.03,-0.038,0.16,0.144,0.17,0.162
-9.941e-04,0.5,0.508,-0.03,-0.018,0.152,0.164,0.178,0.186
-9.937e-04,0.5,0.492,-0.03,-0.038,0.156,0.14,0.17,0.154
-9.933e-04,0.5,0.508,-0.03,-0.018,0.152,0.16,0.166,0.178
-9.929e-04,0.5,0.492,-0.03,-0.046,0.144,0.132,0.166,0.15
-9.925e-04,0.5,0.508,-0.03,-0.018,0.148,0.156,0.162,0.174
-9.922e-04,0.5,0.492,-0.034,-0.042,0.148,0.128,0.162,0.146
-9.918e-04,0.508,0.508,-0.026,-0.022,0.136,0.152,0.158,0.166
-9.914e-04,0.5,0.484,-0.03,-0.042,0.136,0.12,0.158,0.142
-9.910e-04,0.5,0.516,-0.03,-0.018,0.132,0.148,0.154,0.166
-9.906e-04,0.5,0.492,-0.034,-0.042,0.128,0.116,0.146,0.138
-9.902e-04,0.508,0.508,-0.03,-0.026,0.124,0.136,0.15,0.158
-9.899e-04,0.5,0.492,-0.03,-0.046,0.12,0.112,0.146,0.134
-9.895e-04,0.5,0.508,-0.03,-0.022,0.12,0.132,0.146,0.154
-9.891e-04,0.5,0.492,-0.03,-0.046,0.124,0.108,0.142,0.13
-9.887e-04,0.5,0.508,-0.034,-0.022,0.12,0.128,0.142,0.15
-9.883e-04,0.5,0.492,-0.038,-0.046,0.12,0.104,0.134,0.122
-9.879e-04,0.508,0.508,-0.034,-0.026,0.116,0.124,0.138,0.146
-9.876e-04,0.5,0.5,-0.034,-0.046,0.112,0.1,0.13,0.118
-9.872e-04,0.5,0.508,-0.038,-0.026,0.112,0.12,0.13,0.142
-9.868e-04,0.5,0.5,-0.038,-0.046,0.108,0.096,0.134,0.118
-9.864e-04,0.5,0.508,-0.038,-0.026,0.112,0.116,0.13,0.138
-9.860e-04,0.5,0.5,-0.038,-0.046,0.1,0.092,0.122,0.114
-9.856e-04,0.5,0.508,-0.042,-0.026,0.108,0.116,0.126,0.134
-9.852e-04,0.5,0.5,-0.042,-0.05,0.1,0.084,0.126,0.11
-9.849e-04,0.5,0.508,-0.038,-0.03,0.1,0.108,0.118,0.13
-9.845e-04,0.5,0.5,-0.038,-0.05,0.096,0.084,0.122,0.106
-9.841e-04,0.5,0.508,-0.034,-0.03,0.092,0.104,0.114,0.126
-9.837e-04,0.5,0.5,-0.038,-0.05,0.096,0.08,0.106,0.102
-9.833e-04,0.5,0.508,-0.038,-0.03,0.092,0.1,0.11,0.122
-9.829e-04,0.5,0.492,-0.034,-0.05,0.092,0.08,0.11,0.094
-9.826e-04,0.5,0.508,-0.038,-0.03,0.092,0.1,0.11,0.118
-9.822e-04,0.5,0.492,-0.034,-0.05,0.088,0.072,0.102,0.094
-9.818e-04,0.5,0.508,-0.046,-0.03,0.084,0.092,0.102,0.114
-9.814e-04,0.5,0.484,-0.046,-0.054,0.08,0.068,0.098,0.09
-9.810e-04,0.5,0.516,-0.038,-0.03,0.08,0.096,0.102,0.114
-9.806e-04,0.5,0.5,-0.042,-0.05,0.076,0.068,0.094,0.09
-9.803e-04,0.5,0.508,-0.038,-0.034,0.076,0.088,0.094,0.106
-9.799e-04,0.5,0.5,-0.042,-0.05,0.08,0.064,0.098,0.086
-9.795e-04,0.5,0.508,-0.038,-0.03,0.072,0.084,0.094,0.106
-9.791e-04,0.5,0.5,-0.042,-0.054,0.076,0.064,0.09,0.082
-9.787e-04,0.5,0.516,-0.046,-0.034,0.084,0.084,0.098,0.106
-9.783e-04,0.508,0.5,-0.038,-0.046,0.072,0.064,0.098,0.082
-9.780e-04,0.508,0.508,-0.038,-0.03,0.072,0.08,0.094,0.102
-9.776e-04,0.508,0.5,-0.038,-0.05,0.068,0.06,0.094,0.078
-9.772e-04,0.508,0.508,-0.042,-0.03,0.072,0.08,0.094,0.102
-9.768e-04,0.5,0.5,-0.038,-0.054,0.068,0.056,0.086,0.078
-9.764e-04,0.5,0.508,-0.042,-0.03,0.068,0.08,0.09,0.098
-9.760e-04,0.5,0.5,-0.038,-0.05,0.068,0.052,0.09,0.074
-9.756e-04,0.5,0.508,-0.038,-0.03,0.068,0.076,0.086,0.094
-9.753e-04,0.5,0.492,-0.042,-0.054,0.06,0.048,0.082,0.07
-9.749e-04,0.5,0.508,-0.042,-0.03,0.064,0.072,0.082,0.094
-9.745e-04,0.5,0.5,-0.038,-0.054,0.06,0.048,0.078,0.066
-9.741e-04,0.5,0.508,-0.046,-0.034,0.06,0.068,0.078,0.086
-9.737e-04,0.508,0.492,-0.046,-0.054,0.056,0.044,0.078,0.062
-9.733e-04,0.5,0.508,-0.046,-0.034,0.06,0.064,0.074,0.082
-9.730e-04,0.5,0.492,-0.05,-0.054,0.052,0.04,0.074,0.062
-9.726e-04,0.5,0.516,-0.05,-0.034,0.052,0.064,0.07,0.082
-9.722e-04,0.5,0.5,-0.05,-0.058,0.056,0.036,0.066,0.062
-9.718e-04,0.5,0.508,-0.042,-0.038,0.048,0.056,0.07,0.078
-9.714e-04,0.508,0.484,-0.042,-0.054,0.048,0.036,0.066,0.058
-9.710e-04,0.5,0.516,-0.046,-0.038,0.044,0.06,0.07,0.078
-9.707e-04,0.5,0.5,-0.046,-0.054,0.056,0.036,0.07,0.058
-9.703e-04,0.5,0.508,-0.05,-0.038,0.052,0.056,0.066,0.078
-9.699e-04,0.5,0.5,-0.042,-0.058,0.052,0.032,0.07,0.054
-9.695e-04,0.5,0.508,-0.05,-0.034,0.04,0.056,0.062,0.074
-9.691e-04,0.5,0.5,-0.042,-0.054,0.044,0.032,0.066,0.054
-9.687e-04,0.508,0.508,-0.046,-0.038,0.04,0.052,0.066,0.074
-9.683e-04,0.508,0.5,-0.042,-0.058,0.036,0.032,0.066,0.054
-9.680e-04,0.508,0.508,-0.042,-0.038,0.04,0.052,0.066,0.07
-9.676e-04,0.508,0.5,-0.042,-0.058,0.04,0.028,0.058,0.05
-9.672e-04,0.5,0.508,-0.046,-0.034,0.04,0.052,0.058,0.07
-9.668e-04,0.5,0.5,-0.046,-0.058,0.04,0.028,0.062,0.046
-9.664e-04,0.5,0.516,-0.042,-0.034,0.04,0.048,0.058,0.066
-9.660e-04,0.508,0.5,-0.042,-0.054,0.036,0.028,0.054,0.042
-9.657e-04,0.5,0.508,-0.046,-0.034,0.036,0.044,0.054,0.066
-9.653e-04,0.5,0.5,-0.046,-0.054,0.028,0.024,0.058,0.046
-9.649e-04,0.508,0.508,-0.05,-0.034,0.032,0.044,0.054,0.066
-9.645e-04,0.5,0.5,-0.046,-0.054,0.032,0.024,0.058,0.038
-9.641e-04,0.508,0.508,-0.046,-0.034,0.032,0.044,0.058,0.062
-9.637e-04,0.508,0.5,-0.046,-0.062,0.028,0.02,0.05,0.042
-9.634e-04,0.5,0.508,-0.05,-0.034,0.032,0.04,0.054,0.062
-9.630e-04,0.508,0.492,-0.05,-0.058,0.028,0.016,0.046,0.038
-9.626e-04,0.5,0.516,-0.05,-0.038,0.024,0.036,0.05,0.062
-9.622e-04,0.508,0.492,-0.054,-0.058,0.028,0.02,0.054,0.038
-9.618e-04,0.508,0.508,-0.042,-0.038,0.032,0.04,0.046,0.054
-9.614e-04,0.508,0.492,-0.042,-0.058,0.032,0.016,0.046,0.034
-9.611e-04,0.508,0.516,-0.05,-0.034,0.024,0.04,0.046,0.058
-9.607e-04,0.508,0.5,-0.046,-0.062,0.028,0.012,0.046,0.038
-9.603e-04,0.508,0.508,-0.05,-0.038,0.024,0.036,0.042,0.058
-9.599e-04,0.508,0.5,-0.046,-0.054,0.028,0.016,0.038,0.034
-9.595e-04,0.508,0.508,-0.05,-0.034,0.028,0.036,0.042,0.054
-9.591e-04,0.508,0.5,-0.042,-0.058,0.024,0.012,0.05,0.034
-9.587e-04,0.5,0.508,-0.042,-0.038,0.02,0.036,0.042,0.054
-9.584e-04,0.508,0.492,-0.046,-0.058,0.016,0.012,0.042,0.03
-9.580e-04,0.508,0.516,-0.046,-0.038,0.024,0.032,0.046,0.054
-9.576e-04,0.508,0.5,-0.054,-0.054,0.016,0.012,0.042,0.03
-9.572e-04,0.508,0.508,-0.042,-0.038,0.02,0.028,0.042,0.054
-9.568e-04,0.508,0.5,-0.046,-0.054,0.02,0.012,0.042,0.034
-9.564e-04,0.508,0.516,-0.05,-0.034,0.02,0.032,0.042,0.054
-9.561e-04,0.508,0.5,-0.046,-0.058,0.024,0.008,0.046,0.03
-9.557e-04,0.508,0.508,-0.046,-0.038,0.02,0.028,0.042,0.05
-9.553e-04,0.5,0.5,-0.042,-0.058,0.02,0.008,0.042,0.026
-9.549e-04,0.508,0.508,-0.046,-0.038,0.02,0.028,0.038,0.05
-9.545e-04,0.508,0.5,-0.05,-0.058,0.016,0.012,0.034,0.026
-9.541e-04,0.508,0.508,-0.042,-0.038,0.016,0.028,0.038,0.046
-9.538e-04,0.5,0.5,-0.05,-0.058,0.016,0.008,0.038,0.026
-9.534e-04,0.5,0.516,-0.05,-0.038,0.02,0.028,0.038,0.05
-9.530e-04,0.508,0.492,-0.042,-0.058,0.02,0.004,0.042,0.026
-9.526e-04,0.508,0.516,-0.038,-0.034,0.024,0.028,0.038,0.046
-9.522e-04,0.508,0.5,-0.046,-0.054,0.024,0.008,0.034,0.026
-9.518e-04,0.5,0.516,-0.05,-0.038,0.016,0.028,0.038,0.042
-9.515e-04,0.508,0.492,-0.046,-0.054,0.016,0.004,0.038,0.018
-9.511e-04,0.508,0.524,-0.054,-0.034,0.02,0.028,0.034,0.05
-9.507e-04,0.5,0.5,-0.042,-0.054,0.02,0.004,0.03,0.022
-9.503e-04,0.508,0.516,-0.042,-0.034,0.012,0.024,0.034,0.042
-9.499e-04,0.508,0.5,-0.05,-0.058,0.012,0.008,0.034,0.026
-9.495e-04,0.508,0.516,-0.042,-0.034,0.012,0.024,0.034,0.042
-9.491e-04,0.508,0.5,-0.042,-0.058,0.012,0.004,0.03,0.022
-9.488e-04,0.508,0.508,-0.042,-0.038,0.012,0.024,0.03,0.042
-9.484e-04,0.5,0.5,-0.054,-0.062,0.012,-8.9407e-11,0.03,0.018
-9.480e-04,0.508,0.508,-0.046,-0.038,0.012,0.02,0.03,0.042
-9.476e-04,0.508,0.5,-0.05,-0.058,0.008,-8.9407e-11,0.03,0.018
-9.472e-04,0.508,0.508,-0.05,-0.034,0.004,0.016,0.03,0.038
-9.468e-04,0.508,0.5,-0.05,-0.062,0.008,-0.004,0.03,0.018
-9.465e-04,0.508,0.508,-0.054,-0.038,0.008,0.016,0.034,0.038
-9.461e-04,0.5,0.5,-0.05,-0.058,0.016,-0.008,0.022,0.014
-9.457e-04,0.508,0.508,-0.042,-0.038,0.008,0.016,0.03,0.034
-9.453e-04,0.508,0.5,-0.042,-0.054,0.012,-8.9407e-11,0.026,0.014
-9.449e-04,0.508,0.516,-0.046,-0.038,0.004,0.02,0.026,0.038
-9.445e-04,0.508,0.5,-0.05,-0.058,0.008,-0.004,0.022,0.018
-9.442e-04,0.508,0.516,-0.05,-0.034,0.008,0.02,0.026,0.038
-9.438e-04,0.5,0.5,-0.046,-0.058,0.004,-8.9407e-11,0.026,0.014
-9.434e-04,0.508,0.516,-0.042,-0.038,0.012,0.02,0.026,0.034
-9.430e-04,0.508,0.5,-0.042,-0.058,-8.9407e-11,-0.004,0.026,0.01
-9.426e-04,0.5,0.516,-0.046,-0.038,-8.9407e-11,0.02,0.018,0.038
-9.422e-04,0.508,0.5,-0.05,-0.062,0.004,-0.004,0.022,0.018
-9.419e-04,0.508,0.516,-0.05,-0.038,0.008,0.02,0.026,0.034
-9.415e-04,0.508,0.492,-0.05,-0.062,0.008,-0.004,0.026,0.014
-9.411e-04,0.508,0.516,-0.05,-0.034,0.008,0.02,0.022,0.038
-9.407e-04,0.508,0.5,-0.05,-0.058,0.004,-0.004,0.022,0.014
-9.403e-04,0.5,0.516,-0.046,-0.042,-8.9407e-11,0.016,0.018,0.034
-9.399e-04,0.508,0.5,-0.046,-0.058,0.008,-0.008,0.03,0.01
-9.395e-04,0.508,0.516,-0.05,-0.038,0.004,0.016,0.018,0.034
-9.392e-04,0.508,0.5,-0.046,-0.058,0.004,-0.004,0.026,0.01
-9.388e-04,0.508,0.516,-0.046,-0.038,0.004,0.016,0.022,0.034
-9.384e-04,0.508,0.5,-0.05,-0.062,0.008,-0.004,0.022,0.01
-9.380e-04,0.508,0.516,-0.046,-0.038,0.004,0.012,0.022,0.03
-9.376e-04,0.508,0.5,-0.05,-0.062,0.008,-0.008,0.026,0.014
-9.372e-04,0.508,0.516,-0.046,-0.042,-8.9407e-11,0.016,0.026,0.034
-9.369e-04,0.508,0.5,-0.05,-0.058,-8.9407e-11,-0.004,0.022,0.01
-9.365e-04,0.508,0.516,-0.054,-0.038,0.008,0.012,0.022,0.034
-9.361e-04,0.508,0.5,-0.046,-0.058,0.004,-0.008,0.026,0.01
-9.357e-04,0.508,0.516,-0.046,-0.038,0.004,0.016,0.022,0.034
-9.353e-04,0.508,0.5,-0.046,-0.058,0.008,-0.004,0.022,0.014
-9.349e-04,0.508,0.516,-0.05,-0.038,0.008,0.016,0.03,0.03
-9.346e-04,0.508,0.5,-0.042,-0.058,0.008,-0.008,0.026,0.006
-9.342e-04,0.508,0.516,-0.046,-0.038,0.004,0.012,0.022,0.034
-9.338e-04,0.508,0.5,-0.042,-0.058,0.004,-0.008,0.018,0.01
-9.334e-04,0.508,0.508,-0.046,-0.038,0.008,0.012,0.018,0.03
-9.330e-04,0.508,0.5,-0.046,-0.058,0.008,-0.008,0.03,0.006
-9.326e-04,0.516,0.516,-0.046,-0.038,0.004,0.012,0.026,0.03
-9.323e-04,0.508,0.5,-0.05,-0.058,0.004,-0.008,0.026,0.01
-9.319e-04,0.508,0.516,-0.042,-0.038,0.004,0.012,0.026,0.03
-9.315e-04,0.508,0.492,-0.05,-0.062,-8.9407e-11,-0.008,0.022,0.006
-9.311e-04,0.508,0.524,-0.05,-0.034,-0.004,0.012,0.014,0.03
-9.307e-04,0.508,0.5,-0.05,-0.058,-8.9407e-11,-0.008,0.018,0.01
-9.303e-04,0.508,0.516,-0.05,-0.038,-8.9407e-11,0.012,0.022,0.026
