Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,4.3,4.5,0.42,0.5,1.64,1.68,1.82,1.86
-9.995e-04,4.3,4.1,0.34,0.22,1.68,1.6,1.86,1.78
-9.991e-04,4.3,4.3,0.26,0.46,1.72,1.76,1.9,1.94
-9.987e-04,4.3,4.1,0.1,-0.14,1.68,1.6,1.9,1.78
-9.983e-04,4.3,4.5,-0.1,0.26,1.64,1.76,1.82,1.94
-9.979e-04,4.3,4.1,-0.22,-0.3,1.6,1.56,1.82,1.78
-9.975e-04,4.3,4.5,-0.26,-0.1,1.6,1.64,1.78,1.86
-9.972e-04,4.3,4.1,-0.26,-0.3,1.56,1.52,1.78,1.7
-9.968e-04,4.3,4.5,-0.26,-0.22,1.52,1.64,1.74,1.82
-9.964e-04,4.3,4.1,-0.26,-0.3,1.48,1.48,1.7,1.66
-9.960e-04,4.3,4.5,-0.26,-0.22,1.48,1.56,1.74,1.78
-9.956e-04,4.3,4.1,-0.26,-0.3,1.48,1.4,1.7,1.62
-9.952e-04,4.3,4.5,-0.26,-0.22,1.44,1.52,1.66,1.7
-9.948e-04,4.3,4.3,-0.26,-0.3,1.44,1.36,1.66,1.58
-9.945e-04,4.3,4.5,-0.26,-0.22,1.4,1.48,1.66,1.66
-9.941e-04,4.3,4.3,-0.26,-0.3,1.36,1.32,1.58,1.54
-9.937e-04,4.3,4.5,-0.26,-0.22,1.36,1.4,1.58,1.62
-9.933e-04,4.3,4.3,-0.3,-0.3,1.32,1.28,1.54,1.5
-9.929e-04,4.3,4.5,-0.26,-0.22,1.32,1.36,1.54,1.58
-9.925e-04,4.5,4.3,-0.26,-0.3,1.28,1.24,1.54,1.46
-9.922e-04,4.3,4.5,-0.26,-0.22,1.24,1.32,1.5,1.54
-9.918e-04,4.5,4.3,-0.26,-0.3,1.24,1.2,1.46,1.38
-9.914e-04,4.3,4.5,-0.26,-0.22,1.2,1.28,1.46,1.5
-9.910e-04,4.3,4.3,-0.26,-0.34,1.2,1.12,1.42,1.38
-9.906e-04,4.3,4.5,-0.3,-0.26,1.16,1.24,1.38,1.46
-9.902e-04,4.3,4.3,-0.26,-0.34,1.16,1.08,1.38,1.3
-9.899e-04,4.3,4.5,-0.26,-0.26,1.12,1.2,1.38,1.42
-9.895e-04,4.3,4.3,-0.3,-0.34,1.12,1.04,1.34,1.26
-9.891e-04,4.3,4.5,-0.3,-0.26,1.08,1.16,1.34,1.38
-9.887e-04,4.3,4.3,-0.26,-0.34,1.08,1,1.3,1.26
-9.883e-04,4.5,4.5,-0.3,-0.26,1.08,1.12,1.26,1.34
-9.879e-04,4.5,4.3,-0.3,-0.34,1.04,0.96,1.26,1.18
-9.876e-04,4.5,4.5,-0.3,-0.26,1,1.04,1.22,1.3
-9.872e-04,4.3,4.3,-0.3,-0.34,1,0.96,1.22,1.18
-9.868e-04,4.5,4.5,-0.3,-0.26,0.96,1.04,1.18,1.26
-9.864e-04,4.5,4.3,-0.3,-0.34,0.96,0.92,1.18,1.14
-9.860e-04,4.5,4.5,-0.3,-0.3,0.92,1,1.14,1.22
-9.856e-04,4.5,4.3,-0.3,-0.34,0.92,0.88,1.14,1.1
-9.852e-04,4.3,4.5,-0.3,-0.3,0.88,0.96,1.14,1.18
-9.849e-04,4.5,4.3,-0.3,-0.34,0.88,0.84,1.1,1.06
-9.845e-04,4.5,4.5,-0.3,-0.3,0.88,0.92,1.1,1.14
-9.841e-04,4.3,4.3,-0.34,-0.38,0.84,0.8,1.1,1.02
-9.837e-04,4.3,4.5,-0.3,-0.3,0.84,0.88,1.06,1.14
-9.833e-04,4.5,4.3,-0.34,-0.38,0.84,0.8,1.06,1.02
-9.829e-04,4.3,4.5,-0.34,-0.3,0.8,0.84,1.06,1.1
-9.826e-04,4.3,4.3,-0.34,-0.38,0.8,0.76,1.02,0.98
-9.822e-04,4.5,4.5,-0.34,-0.3,0.76,0.84,1.02,1.06
-9.818e-04,4.3,4.3,-0.34,-0.38,0.76,0.72,0.98,0.94
-9.814e-04,4.5,4.5,-0.3,-0.3,0.76,0.8,0.98,1.02
-9.810e-04,4.5,4.3,-0.34,-0.38,0.72,0.68,0.98,0.94
-9.806e-04,4.5,4.5,-0.34,-0.3,0.72,0.76,0.94,1.02
-9.803e-04,4.3,4.3,-0.34,-0.38,0.72,0.68,0.94,0.9
-9.799e-04,4.5,4.5,-0.34,-0.3,0.72,0.76,0.94,0.98
-9.795e-04,4.3,4.3,-0.34,-0.38,0.68,0.64,0.94,0.86
-9.791e-04,4.5,4.5,-0.34,-0.3,0.68,0.72,0.9,0.94
-9.787e-04,4.5,4.3,-0.34,-0.38,0.64,0.6,0.86,0.86
-9.783e-04,4.5,4.5,-0.34,-0.3,0.64,0.68,0.86,0.94
-9.780e-04,4.5,4.3,-0.34,-0.38,0.64,0.56,0.86,0.82
-9.776e-04,4.3,4.5,-0.34,-0.3,0.6,0.68,0.86,0.9
-9.772e-04,4.5,4.3,-0.34,-0.38,0.6,0.56,0.82,0.78
-9.768e-04,4.5,4.5,-0.34,-0.3,0.6,0.64,0.82,0.86
-9.764e-04,4.5,4.3,-0.34,-0.38,0.56,0.52,0.82,0.78
-9.760e-04,4.3,4.5,-0.38,-0.34,0.6,0.6,0.82,0.86
-9.756e-04,4.5,4.3,-0.34,-0.38,0.56,0.52,0.78,0.74
-9.753e-04,4.5,4.5,-0.38,-0.3,0.56,0.6,0.78,0.82
-9.749e-04,4.3,4.3,-0.38,-0.38,0.52,0.48,0.78,0.74
-9.745e-04,4.5,4.5,-0.34,-0.34,0.52,0.56,0.74,0.82
-9.741e-04,4.5,4.3,-0.38,-0.38,0.52,0.48,0.74,0.7
-9.737e-04,4.5,4.5,-0.38,-0.34,0.48,0.56,0.74,0.78
-9.733e-04,4.3,4.3,-0.38,-0.38,0.48,0.44,0.74,0.7
-9.730e-04,4.3,4.5,-0.38,-0.34,0.48,0.52,0.7,0.78
-9.726e-04,4.3,4.3,-0.38,-0.38,0.48,0.44,0.7,0.66
-9.722e-04,4.5,4.5,-0.38,-0.34,0.44,0.52,0.7,0.74
-9.718e-04,4.5,4.3,-0.38,-0.42,0.44,0.4,0.7,0.66
-9.714e-04,4.5,4.5,-0.38,-0.34,0.44,0.48,0.66,0.74
-9.710e-04,4.5,4.3,-0.34,-0.42,0.44,0.4,0.66,0.62
-9.707e-04,4.5,4.5,-0.38,-0.34,0.44,0.44,0.66,0.7
-9.703e-04,4.3,4.3,-0.38,-0.42,0.4,0.36,0.66,0.62
-9.699e-04,4.5,4.5,-0.38,-0.34,0.4,0.44,0.66,0.7
-9.695e-04,4.5,4.3,-0.38,-0.42,0.4,0.36,0.66,0.58
-9.691e-04,4.5,4.5,-0.38,-0.34,0.4,0.44,0.62,0.66
-9.687e-04,4.3,4.3,-0.38,-0.42,0.4,0.32,0.62,0.58
-9.683e-04,4.3,4.5,-0.38,-0.34,0.36,0.4,0.62,0.66
-9.680e-04,4.5,4.3,-0.38,-0.42,0.36,0.32,0.62,0.54
-9.676e-04,4.5,4.5,-0.38,-0.34,0.36,0.4,0.58,0.62
-9.672e-04,4.5,4.3,-0.38,-0.42,0.32,0.32,0.58,0.54
-9.668e-04,4.5,4.5,-0.38,-0.34,0.36,0.4,0.58,0.62
-9.664e-04,4.5,4.3,-0.38,-0.42,0.32,0.28,0.54,0.54
-9.660e-04,4.5,4.5,-0.38,-0.34,0.32,0.36,0.58,0.62
-9.657e-04,4.5,4.3,-0.38,-0.42,0.32,0.28,0.54,0.5
-9.653e-04,4.3,4.5,-0.38,-0.34,0.32,0.36,0.54,0.58
-9.649e-04,4.5,4.3,-0.38,-0.42,0.32,0.28,0.54,0.5
-9.645e-04,4.3,4.5,-0.38,-0.34,0.32,0.32,0.54,0.58
-9.641e-04,4.3,4.3,-0.38,-0.42,0.28,0.28,0.54,0.5
-9.637e-04,4.3,4.5,-0.42,-0.34,0.28,0.32,0.54,0.54
-9.634e-04,4.3,4.3,-0.38,-0.42,0.28,0.24,0.54,0.46
-9.630e-04,4.5,4.5,-0.38,-0.34,0.28,0.32,0.5,0.54
-9.626e-04,4.5,4.3,-0.38,-0.42,0.28,0.24,0.5,0.46
-9.622e-04,4.5,4.5,-0.38,-0.38,0.24,0.28,0.5,0.54
-9.618e-04,4.5,4.3,-0.38,-0.42,0.24,0.2,0.5,0.46
-9.614e-04,4.5,4.5,-0.38,-0.38,0.24,0.28,0.5,0.5
-9.611e-04,4.5,4.3,-0.38,-0.42,0.24,0.2,0.5,0.42
-9.607e-04,4.5,4.5,-0.42,-0.38,0.24,0.28,0.46,0.5
-9.603e-04,4.3,4.3,-0.38,-0.42,0.24,0.2,0.46,0.42
-9.599e-04,4.5,4.5,-0.38,-0.38,0.2,0.24,0.46,0.5
-9.595e-04,4.5,4.3,-0.38,-0.42,0.24,0.2,0.46,0.42
-9.591e-04,4.3,4.5,-0.38,-0.34,0.24,0.24,0.46,0.5
-9.587e-04,4.5,4.3,-0.38,-0.42,0.24,0.16,0.42,0.42
-9.584e-04,4.3,4.5,-0.42,-0.34,0.2,0.24,0.42,0.46
-9.580e-04,4.3,4.3,-0.38,-0.42,0.2,0.16,0.42,0.38
-9.576e-04,4.3,4.5,-0.38,-0.38,0.2,0.24,0.42,0.46
-9.572e-04,4.3,4.3,-0.42,-0.42,0.2,0.16,0.42,0.38
-9.568e-04,4.5,4.5,-0.38,-0.38,0.2,0.2,0.42,0.46
-9.564e-04,4.5,4.3,-0.38,-0.42,0.16,0.16,0.42,0.38
-9.561e-04,4.5,4.5,-0.42,-0.38,0.16,0.2,0.42,0.46
-9.557e-04,4.5,4.3,-0.42,-0.42,0.2,0.12,0.38,0.38
-9.553e-04,4.3,4.5,-0.42,-0.38,0.16,0.2,0.42,0.42
-9.549e-04,4.5,4.3,-0.38,-0.42,0.16,0.12,0.42,0.34
-9.545e-04,4.3,4.5,-0.42,-0.38,0.16,0.2,0.38,0.42
-9.541e-04,4.5,4.3,-0.42,-0.46,0.12,0.12,0.38,0.34
-9.538e-04,4.3,4.5,-0.38,-0.38,0.16,0.2,0.42,0.42
-9.534e-04,4.3,4.3,-0.42,-0.42,0.16,0.12,0.38,0.34
-9.530e-04,4.5,4.5,-0.42,-0.38,0.16,0.2,0.38,0.42
-9.526e-04,4.5,4.3,-0.42,-0.42,0.16,0.12,0.38,0.34
-9.522e-04,4.5,4.5,-0.42,-0.38,0.12,0.16,0.38,0.42
-9.518e-04,4.3,4.3,-0.38,-0.46,0.12,0.08,0.34,0.34
-9.515e-04,4.3,4.5,-0.38,-0.38,0.12,0.16,0.38,0.38
-9.511e-04,4.5,4.3,-0.38,-0.42,0.12,0.08,0.34,0.3
-9.507e-04,4.5,4.5,-0.38,-0.38,0.12,0.16,0.34,0.38
-9.503e-04,4.3,4.3,-0.38,-0.46,0.12,0.08,0.34,0.3
-9.499e-04,4.3,4.7,-0.38,-0.38,0.12,0.16,0.34,0.38
-9.495e-04,4.5,4.3,-0.38,-0.46,0.12,0.08,0.34,0.3
-9.491e-04,4.3,4.5,-0.42,-0.38,0.08,0.16,0.34,0.38
-9.488e-04,4.5,4.3,-0.38,-0.46,0.08,0.08,0.34,0.3
-9.484e-04,4.5,4.5,-0.38,-0.38,0.08,0.12,0.34,0.34
-9.480e-04,4.5,4.3,-0.42,-0.42,0.08,0.08,0.34,0.3
-9.476e-04,4.3,4.5,-0.38,-0.38,0.08,0.12,0.34,0.38
-9.472e-04,4.5,4.3,-0.38,-0.46,0.08,0.04,0.34,0.3
-9.468e-04,4.5,4.5,-0.42,-0.38,0.08,0.12,0.3,0.34
-9.465e-04,4.5,4.3,-0.38,-0.42,0.08,0.04,0.34,0.26
-9.461e-04,4.5,4.5,-0.42,-0.38,0.08,0.12,0.34,0.34
-9.457e-04,4.3,4.3,-0.38,-0.46,0.08,0.04,0.3,0.26
-9.453e-04,4.5,4.5,-0.42,-0.38,0.08,0.12,0.3,0.34
-9.449e-04,4.3,4.3,-0.42,-0.46,0.08,0.04,0.3,0.26
-9.445e-04,4.5,4.5,-0.38,-0.38,0.08,0.08,0.3,0.34
-9.442e-04,4.3,4.3,-0.42,-0.46,0.08,0.04,0.3,0.26
-9.438e-04,4.3,4.5,-0.42,-0.38,0.08,0.08,0.3,0.34
-9.434e-04,4.5,4.3,-0.42,-0.46,0.04,0.04,0.26,0.26
-9.430e-04,4.5,4.5,-0.42,-0.38,0.04,0.08,0.26,0.3
-9.426e-04,4.3,4.3,-0.38,-0.46,0.08,0.04,0.3,0.26
-9.422e-04,4.5,4.7,-0.42,-0.38,0.04,0.08,0.3,0.3
-9.419e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.415e-04,4.5,4.7,-0.42,-0.38,0.04,0.08,0.26,0.3
-9.411e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.3,0.22
-9.407e-04,4.5,4.5,-0.42,-0.38,0.04,0.08,0.3,0.3
-9.403e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.399e-04,4.3,4.5,-0.42,-0.38,0.04,0.08,0.26,0.3
-9.395e-04,4.3,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.392e-04,4.5,4.5,-0.42,-0.38,0.04,0.08,0.26,0.3
-9.388e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.384e-04,4.5,4.5,-0.42,-0.38,0.04,0.08,0.26,0.3
-9.380e-04,4.3,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.376e-04,4.5,4.7,-0.42,-0.38,-8.9407e-10,0.08,0.26,0.3
-9.372e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.369e-04,4.3,4.7,-0.42,-0.38,0.04,0.04,0.26,0.3
-9.365e-04,4.5,4.3,-0.42,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.361e-04,4.5,4.7,-0.42,-0.38,0.04,0.04,0.26,0.26
-9.357e-04,4.5,4.3,-0.38,-0.46,0.04,-8.9407e-10,0.26,0.22
-9.353e-04,4.3,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.26,0.26
-9.349e-04,4.5,4.3,-0.42,-0.46,0.04,-0.04,0.26,0.18
-9.346e-04,4.5,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.26,0.26
-9.342e-04,4.3,4.3,-0.42,-0.46,-8.9407e-10,-0.04,0.26,0.18
-9.338e-04,4.3,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.22,0.26
-9.334e-04,4.5,4.3,-0.42,-0.46,-8.9407e-10,-0.04,0.22,0.18
-9.330e-04,4.3,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.22,0.26
-9.326e-04,4.5,4.3,-0.38,-0.46,-8.9407e-10,-0.04,0.26,0.18
-9.323e-04,4.5,4.7,-0.42,-0.38,-8.9407e-10,0.04,0.22,0.26
-9.319e-04,4.3,4.3,-0.42,-0.46,-8.9407e-10,-0.04,0.22,0.18
-9.315e-04,4.3,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.22,0.26
-9.311e-04,4.3,4.3,-0.42,-0.46,-8.9407e-10,-0.04,0.22,0.18
-9.307e-04,4.5,4.5,-0.42,-0.38,-8.9407e-10,0.04,0.22,0.26
