Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,1,,0.2,,0.2,,0.2,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,1.42,1.42,0.132,0.052,0.584,0.544,0.636,0.604
-9.995e-04,1.42,1.46,0.116,0.14,0.552,0.592,0.62,0.652
-9.991e-04,1.42,1.42,0.06,0.012,0.544,0.536,0.62,0.596
-9.987e-04,1.42,1.46,0.028,0.068,0.552,0.56,0.612,0.628
-9.983e-04,1.46,1.42,0.012,-0.028,0.536,0.52,0.612,0.588
-9.979e-04,1.46,1.46,-0.004,0.02,0.536,0.552,0.604,0.62
-9.975e-04,1.42,1.42,-0.02,-0.06,0.528,0.504,0.596,0.572
-9.972e-04,1.46,1.46,-0.036,-0.012,0.52,0.536,0.58,0.604
-9.968e-04,1.42,1.42,-0.052,-0.076,0.512,0.488,0.58,0.556
-9.964e-04,1.46,1.46,-0.06,-0.036,0.504,0.52,0.572,0.596
-9.960e-04,1.42,1.42,-0.068,-0.084,0.488,0.472,0.564,0.54
-9.956e-04,1.46,1.5,-0.068,-0.06,0.496,0.504,0.556,0.572
-9.952e-04,1.42,1.42,-0.076,-0.084,0.48,0.448,0.556,0.524
-9.948e-04,1.46,1.5,-0.076,-0.06,0.48,0.488,0.54,0.556
-9.945e-04,1.46,1.42,-0.076,-0.092,0.464,0.44,0.532,0.508
-9.941e-04,1.46,1.5,-0.084,-0.068,0.456,0.472,0.532,0.54
-9.937e-04,1.46,1.42,-0.076,-0.092,0.448,0.424,0.524,0.5
-9.933e-04,1.46,1.5,-0.076,-0.068,0.44,0.456,0.516,0.532
-9.929e-04,1.46,1.42,-0.084,-0.1,0.44,0.416,0.508,0.484
-9.925e-04,1.46,1.5,-0.092,-0.076,0.432,0.44,0.5,0.516
-9.922e-04,1.46,1.42,-0.092,-0.1,0.416,0.4,0.492,0.468
-9.918e-04,1.46,1.5,-0.084,-0.076,0.408,0.424,0.492,0.5
-9.914e-04,1.46,1.42,-0.092,-0.1,0.408,0.384,0.484,0.46
-9.910e-04,1.5,1.5,-0.092,-0.076,0.392,0.416,0.476,0.492
-9.906e-04,1.46,1.42,-0.084,-0.108,0.4,0.368,0.476,0.452
-9.902e-04,1.46,1.5,-0.1,-0.076,0.384,0.4,0.46,0.476
-9.899e-04,1.46,1.42,-0.1,-0.108,0.376,0.352,0.46,0.436
-9.895e-04,1.46,1.5,-0.1,-0.084,0.376,0.384,0.452,0.468
-9.891e-04,1.46,1.42,-0.1,-0.108,0.368,0.344,0.444,0.412
-9.887e-04,1.46,1.5,-0.1,-0.084,0.36,0.368,0.436,0.452
-9.883e-04,1.46,1.46,-0.1,-0.108,0.352,0.328,0.428,0.412
-9.879e-04,1.46,1.5,-0.1,-0.092,0.344,0.352,0.42,0.436
-9.876e-04,1.46,1.42,-0.1,-0.116,0.328,0.312,0.42,0.396
-9.872e-04,1.46,1.5,-0.108,-0.092,0.336,0.344,0.404,0.42
-9.868e-04,1.46,1.42,-0.108,-0.108,0.32,0.304,0.396,0.38
-9.864e-04,1.46,1.5,-0.1,-0.092,0.32,0.336,0.404,0.412
-9.860e-04,1.46,1.42,-0.108,-0.116,0.304,0.296,0.388,0.372
-9.856e-04,1.46,1.5,-0.108,-0.092,0.312,0.32,0.388,0.404
-9.852e-04,1.46,1.46,-0.108,-0.116,0.304,0.28,0.38,0.364
-9.849e-04,1.46,1.5,-0.1,-0.092,0.296,0.312,0.372,0.388
-9.845e-04,1.5,1.46,-0.1,-0.116,0.288,0.272,0.372,0.348
-9.841e-04,1.46,1.5,-0.108,-0.092,0.288,0.296,0.364,0.38
-9.837e-04,1.46,1.46,-0.1,-0.116,0.272,0.256,0.356,0.34
-9.833e-04,1.5,1.5,-0.108,-0.1,0.272,0.288,0.356,0.364
-9.829e-04,1.5,1.46,-0.1,-0.116,0.28,0.248,0.348,0.324
-9.826e-04,1.46,1.5,-0.108,-0.1,0.264,0.28,0.332,0.356
-9.822e-04,1.46,1.42,-0.108,-0.116,0.248,0.24,0.34,0.316
-9.818e-04,1.46,1.5,-0.108,-0.1,0.248,0.264,0.332,0.348
-9.814e-04,1.46,1.42,-0.108,-0.124,0.248,0.224,0.332,0.308
-9.810e-04,1.5,1.5,-0.116,-0.1,0.24,0.256,0.316,0.332
-9.806e-04,1.46,1.46,-0.108,-0.124,0.24,0.208,0.316,0.292
-9.803e-04,1.46,1.5,-0.116,-0.1,0.232,0.248,0.308,0.324
-9.799e-04,1.46,1.42,-0.116,-0.132,0.224,0.208,0.308,0.292
-9.795e-04,1.46,1.5,-0.116,-0.1,0.224,0.24,0.308,0.324
-9.791e-04,1.46,1.46,-0.116,-0.124,0.216,0.2,0.292,0.276
-9.787e-04,1.5,1.5,-0.124,-0.1,0.216,0.224,0.308,0.308
-9.783e-04,1.46,1.46,-0.116,-0.124,0.208,0.192,0.292,0.276
-9.780e-04,1.46,1.5,-0.116,-0.108,0.208,0.224,0.292,0.3
-9.776e-04,1.46,1.46,-0.124,-0.124,0.208,0.184,0.284,0.26
-9.772e-04,1.46,1.5,-0.116,-0.108,0.208,0.216,0.276,0.292
-9.768e-04,1.46,1.46,-0.124,-0.132,0.192,0.176,0.276,0.26
-9.764e-04,1.46,1.5,-0.116,-0.108,0.2,0.2,0.268,0.284
-9.760e-04,1.5,1.46,-0.116,-0.132,0.184,0.176,0.26,0.252
-9.756e-04,1.46,1.5,-0.124,-0.108,0.184,0.2,0.26,0.276
-9.753e-04,1.5,1.46,-0.124,-0.132,0.176,0.16,0.26,0.244
-9.749e-04,1.46,1.5,-0.108,-0.108,0.184,0.192,0.26,0.268
-9.745e-04,1.46,1.46,-0.124,-0.132,0.176,0.16,0.26,0.228
-9.741e-04,1.5,1.5,-0.124,-0.108,0.168,0.184,0.252,0.26
-9.737e-04,1.5,1.46,-0.124,-0.132,0.16,0.152,0.244,0.228
-9.733e-04,1.46,1.5,-0.116,-0.108,0.16,0.176,0.244,0.26
-9.730e-04,1.5,1.46,-0.124,-0.132,0.16,0.144,0.244,0.228
-9.726e-04,1.46,1.5,-0.124,-0.108,0.152,0.168,0.236,0.244
-9.722e-04,1.46,1.46,-0.116,-0.132,0.152,0.136,0.236,0.212
-9.718e-04,1.46,1.5,-0.124,-0.116,0.152,0.16,0.236,0.244
-9.714e-04,1.46,1.46,-0.124,-0.132,0.152,0.136,0.228,0.212
-9.710e-04,1.46,1.5,-0.116,-0.116,0.144,0.16,0.228,0.236
-9.707e-04,1.46,1.46,-0.124,-0.132,0.136,0.12,0.22,0.204
-9.703e-04,1.46,1.5,-0.124,-0.116,0.144,0.152,0.228,0.228
-9.699e-04,1.46,1.46,-0.124,-0.14,0.136,0.12,0.22,0.196
-9.695e-04,1.46,1.5,-0.124,-0.108,0.136,0.152,0.212,0.228
-9.691e-04,1.5,1.42,-0.124,-0.132,0.136,0.112,0.212,0.188
-9.687e-04,1.46,1.5,-0.124,-0.116,0.128,0.144,0.204,0.22
-9.683e-04,1.5,1.46,-0.132,-0.14,0.128,0.112,0.204,0.188
-9.680e-04,1.46,1.5,-0.124,-0.116,0.12,0.136,0.196,0.212
-9.676e-04,1.46,1.46,-0.124,-0.14,0.112,0.104,0.196,0.18
-9.672e-04,1.5,1.5,-0.132,-0.116,0.112,0.128,0.196,0.204
-9.668e-04,1.46,1.46,-0.124,-0.14,0.12,0.096,0.188,0.18
-9.664e-04,1.5,1.5,-0.124,-0.116,0.112,0.12,0.188,0.204
-9.660e-04,1.5,1.46,-0.14,-0.14,0.112,0.088,0.188,0.172
-9.657e-04,1.5,1.5,-0.124,-0.116,0.104,0.12,0.18,0.196
-9.653e-04,1.46,1.46,-0.132,-0.14,0.104,0.088,0.18,0.172
-9.649e-04,1.46,1.5,-0.132,-0.116,0.096,0.112,0.18,0.188
-9.645e-04,1.46,1.46,-0.132,-0.14,0.096,0.08,0.18,0.164
-9.641e-04,1.46,1.5,-0.124,-0.116,0.088,0.104,0.18,0.188
-9.637e-04,1.5,1.46,-0.124,-0.14,0.096,0.08,0.172,0.156
-9.634e-04,1.46,1.5,-0.124,-0.116,0.088,0.104,0.164,0.18
-9.630e-04,1.46,1.46,-0.124,-0.14,0.088,0.08,0.172,0.156
-9.626e-04,1.5,1.5,-0.132,-0.116,0.088,0.096,0.172,0.18
-9.622e-04,1.5,1.42,-0.132,-0.14,0.088,0.072,0.172,0.148
-9.618e-04,1.5,1.5,-0.124,-0.124,0.08,0.096,0.172,0.172
-9.614e-04,1.5,1.42,-0.132,-0.14,0.08,0.064,0.156,0.14
-9.611e-04,1.5,1.5,-0.124,-0.124,0.08,0.088,0.164,0.172
-9.607e-04,1.5,1.46,-0.132,-0.14,0.08,0.064,0.156,0.14
-9.603e-04,1.5,1.5,-0.124,-0.116,0.08,0.088,0.164,0.172
-9.599e-04,1.46,1.46,-0.132,-0.14,0.08,0.064,0.148,0.14
-9.595e-04,1.46,1.5,-0.132,-0.116,0.072,0.088,0.148,0.164
-9.591e-04,1.46,1.46,-0.132,-0.148,0.072,0.056,0.148,0.132
-9.587e-04,1.46,1.5,-0.124,-0.116,0.064,0.08,0.148,0.156
-9.584e-04,1.5,1.46,-0.132,-0.14,0.064,0.056,0.148,0.132
-9.580e-04,1.46,1.5,-0.132,-0.124,0.064,0.072,0.14,0.156
-9.576e-04,1.46,1.46,-0.124,-0.14,0.064,0.048,0.14,0.124
-9.572e-04,1.46,1.5,-0.132,-0.124,0.064,0.072,0.14,0.148
-9.568e-04,1.46,1.46,-0.132,-0.14,0.064,0.048,0.148,0.124
-9.564e-04,1.5,1.5,-0.132,-0.116,0.056,0.064,0.14,0.148
-9.561e-04,1.46,1.46,-0.132,-0.14,0.056,0.04,0.14,0.116
-9.557e-04,1.46,1.5,-0.132,-0.124,0.056,0.064,0.132,0.14
-9.553e-04,1.46,1.46,-0.132,-0.148,0.056,0.04,0.132,0.116
-9.549e-04,1.5,1.5,-0.132,-0.124,0.048,0.064,0.124,0.14
-9.545e-04,1.46,1.46,-0.14,-0.148,0.048,0.04,0.124,0.116
-9.541e-04,1.46,1.5,-0.14,-0.124,0.048,0.064,0.124,0.14
-9.538e-04,1.5,1.46,-0.14,-0.14,0.048,0.04,0.132,0.108
-9.534e-04,1.46,1.5,-0.132,-0.124,0.048,0.064,0.116,0.132
-9.530e-04,1.46,1.42,-0.14,-0.14,0.048,0.024,0.124,0.108
-9.526e-04,1.5,1.5,-0.132,-0.124,0.04,0.056,0.116,0.132
-9.522e-04,1.46,1.46,-0.132,-0.148,0.048,0.032,0.116,0.108
-9.518e-04,1.46,1.5,-0.14,-0.124,0.04,0.056,0.124,0.132
-9.515e-04,1.5,1.46,-0.132,-0.14,0.04,0.032,0.124,0.108
-9.511e-04,1.46,1.5,-0.132,-0.124,0.04,0.048,0.116,0.124
-9.507e-04,1.5,1.46,-0.132,-0.148,0.04,0.024,0.116,0.1
-9.503e-04,1.5,1.5,-0.132,-0.124,0.032,0.048,0.116,0.124
-9.499e-04,1.46,1.46,-0.132,-0.148,0.032,0.024,0.108,0.1
-9.495e-04,1.5,1.5,-0.132,-0.124,0.032,0.048,0.116,0.124
-9.491e-04,1.46,1.46,-0.132,-0.148,0.032,0.016,0.108,0.092
-9.488e-04,1.46,1.5,-0.14,-0.124,0.032,0.04,0.108,0.124
-9.484e-04,1.5,1.46,-0.14,-0.148,0.032,0.016,0.108,0.092
-9.480e-04,1.46,1.5,-0.14,-0.124,0.032,0.04,0.1,0.116
-9.476e-04,1.46,1.46,-0.132,-0.148,0.032,0.016,0.1,0.092
-9.472e-04,1.5,1.5,-0.14,-0.124,0.024,0.04,0.1,0.116
-9.468e-04,1.46,1.46,-0.132,-0.148,0.032,0.016,0.108,0.092
-9.465e-04,1.5,1.5,-0.14,-0.124,0.024,0.032,0.108,0.108
-9.461e-04,1.46,1.46,-0.132,-0.148,0.032,0.016,0.1,0.084
-9.457e-04,1.5,1.5,-0.14,-0.124,0.024,0.04,0.1,0.116
-9.453e-04,1.46,1.46,-0.14,-0.148,0.016,0.016,0.1,0.084
-9.449e-04,1.5,1.5,-0.132,-0.124,0.024,0.032,0.1,0.108
-9.445e-04,1.46,1.46,-0.132,-0.148,0.024,0.008,0.092,0.084
-9.442e-04,1.46,1.5,-0.14,-0.124,0.016,0.032,0.1,0.108
-9.438e-04,1.5,1.46,-0.132,-0.148,0.024,0.008,0.092,0.076
-9.434e-04,1.5,1.5,-0.14,-0.124,0.016,0.032,0.092,0.1
-9.430e-04,1.46,1.46,-0.148,-0.148,0.024,-1.78814e-10,0.092,0.076
-9.426e-04,1.46,1.5,-0.132,-0.124,0.016,0.024,0.092,0.1
-9.422e-04,1.46,1.46,-0.14,-0.148,0.016,-1.78814e-10,0.092,0.076
-9.419e-04,1.46,1.5,-0.132,-0.124,0.016,0.024,0.084,0.1
-9.415e-04,1.46,1.46,-0.14,-0.148,0.016,-1.78814e-10,0.092,0.076
-9.411e-04,1.46,1.5,-0.14,-0.124,0.016,0.024,0.084,0.1
-9.407e-04,1.5,1.46,-0.132,-0.148,0.016,-1.78814e-10,0.084,0.076
-9.403e-04,1.5,1.5,-0.132,-0.124,0.008,0.024,0.092,0.1
-9.399e-04,1.5,1.46,-0.132,-0.148,0.024,-1.78814e-10,0.092,0.076
-9.395e-04,1.5,1.5,-0.132,-0.124,0.008,0.024,0.084,0.1
-9.392e-04,1.46,1.46,-0.132,-0.148,0.008,-1.78814e-10,0.084,0.068
-9.388e-04,1.5,1.5,-0.14,-0.124,0.016,0.024,0.084,0.092
-9.384e-04,1.5,1.46,-0.14,-0.148,0.008,-0.008,0.084,0.068
-9.380e-04,1.5,1.5,-0.14,-0.124,0.008,0.016,0.084,0.092
-9.376e-04,1.5,1.46,-0.14,-0.148,0.008,-1.78814e-10,0.084,0.068
-9.372e-04,1.5,1.5,-0.132,-0.132,0.008,0.016,0.084,0.092
-9.369e-04,1.46,1.46,-0.148,-0.148,0.008,-1.78814e-10,0.084,0.068
-9.365e-04,1.5,1.5,-0.14,-0.124,0.008,0.016,0.084,0.092
-9.361e-04,1.5,1.46,-0.14,-0.148,-1.78814e-10,-0.008,0.084,0.068
-9.357e-04,1.5,1.5,-0.14,-0.124,-1.78814e-10,0.016,0.084,0.092
-9.353e-04,1.46,1.46,-0.14,-0.148,0.008,-0.016,0.076,0.068
-9.349e-04,1.46,1.5,-0.14,-0.132,-1.78814e-10,0.016,0.076,0.084
-9.346e-04,1.46,1.46,-0.14,-0.148,-1.78814e-10,-0.008,0.076,0.068
-9.342e-04,1.46,1.5,-0.14,-0.124,-1.78814e-10,0.016,0.084,0.092
-9.338e-04,1.5,1.46,-0.132,-0.148,-1.78814e-10,-0.008,0.076,0.06
-9.334e-04,1.5,1.5,-0.14,-0.124,0.008,0.016,0.076,0.084
-9.330e-04,1.46,1.46,-0.14,-0.148,-1.78814e-10,-0.008,0.076,0.06
-9.326e-04,1.5,1.5,-0.14,-0.124,-1.78814e-10,0.008,0.084,0.084
-9.323e-04,1.46,1.46,-0.14,-0.156,-1.78814e-10,-0.016,0.068,0.06
-9.319e-04,1.5,1.5,-0.14,-0.132,-1.78814e-10,0.008,0.06,0.084
-9.315e-04,1.5,1.46,-0.14,-0.156,-1.78814e-10,-0.016,0.076,0.06
-9.311e-04,1.5,1.5,-0.14,-0.132,-1.78814e-10,0.008,0.068,0.084
-9.307e-04,1.46,1.46,-0.14,-0.148,-1.78814e-10,-0.016,0.068,0.052
