Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,0.5,,0.2,,0.2,,0.2,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,0.99,0.97,0.084,0.036,0.4,0.36,0.436,0.404
-9.995e-04,0.99,1.01,0.076,0.108,0.384,0.4,0.412,0.436
-9.991e-04,0.99,0.97,0.044,0.012,0.376,0.352,0.412,0.396
-9.987e-04,0.99,1.01,0.036,0.052,0.368,0.384,0.412,0.428
-9.983e-04,0.99,0.97,0.012,-0.02,0.368,0.344,0.404,0.388
-9.979e-04,0.99,1.01,0.004,0.02,0.36,0.376,0.404,0.412
-9.975e-04,0.99,0.97,-0.004,-0.036,0.36,0.336,0.404,0.38
-9.972e-04,0.97,1.01,-0.02,-0.004,0.352,0.36,0.396,0.404
-9.968e-04,0.99,0.97,-0.036,-0.052,0.344,0.32,0.388,0.364
-9.964e-04,0.99,1.01,-0.036,-0.02,0.344,0.352,0.38,0.396
-9.960e-04,0.99,0.97,-0.036,-0.052,0.336,0.312,0.38,0.356
-9.956e-04,0.99,1.01,-0.044,-0.028,0.328,0.344,0.372,0.388
-9.952e-04,0.97,0.97,-0.052,-0.06,0.32,0.304,0.364,0.348
-9.948e-04,0.99,1.01,-0.052,-0.036,0.32,0.328,0.372,0.38
-9.945e-04,0.97,0.97,-0.06,-0.068,0.32,0.296,0.364,0.34
-9.941e-04,1.01,1.01,-0.06,-0.044,0.312,0.32,0.348,0.364
-9.937e-04,0.99,0.97,-0.044,-0.068,0.296,0.272,0.348,0.324
-9.933e-04,0.99,1.01,-0.052,-0.044,0.304,0.312,0.34,0.356
-9.929e-04,0.99,0.97,-0.06,-0.068,0.296,0.272,0.332,0.316
-9.925e-04,0.99,1.01,-0.06,-0.044,0.296,0.304,0.332,0.348
-9.922e-04,0.99,0.97,-0.052,-0.068,0.28,0.264,0.324,0.308
-9.918e-04,0.99,1.01,-0.06,-0.044,0.28,0.288,0.316,0.34
-9.914e-04,0.99,0.97,-0.052,-0.068,0.272,0.248,0.316,0.3
-9.910e-04,0.99,1.01,-0.068,-0.044,0.264,0.28,0.316,0.324
-9.906e-04,0.99,0.97,-0.06,-0.076,0.264,0.24,0.308,0.292
-9.902e-04,0.99,1.01,-0.06,-0.052,0.256,0.272,0.3,0.316
-9.899e-04,0.99,0.97,-0.06,-0.076,0.248,0.232,0.3,0.284
-9.895e-04,0.97,1.01,-0.052,-0.052,0.248,0.256,0.3,0.308
-9.891e-04,0.99,0.97,-0.06,-0.076,0.24,0.224,0.284,0.268
-9.887e-04,0.97,1.03,-0.06,-0.052,0.24,0.248,0.284,0.3
-9.883e-04,0.99,0.97,-0.06,-0.076,0.24,0.208,0.292,0.26
-9.879e-04,0.99,1.01,-0.06,-0.052,0.232,0.24,0.276,0.292
-9.876e-04,0.99,0.97,-0.068,-0.076,0.216,0.208,0.276,0.252
-9.872e-04,0.99,1.01,-0.06,-0.052,0.216,0.232,0.268,0.284
-9.868e-04,0.99,0.97,-0.06,-0.076,0.216,0.192,0.268,0.244
-9.864e-04,0.99,1.01,-0.068,-0.052,0.216,0.224,0.26,0.276
-9.860e-04,0.99,0.97,-0.068,-0.084,0.208,0.192,0.26,0.236
-9.856e-04,0.99,1.01,-0.068,-0.06,0.208,0.216,0.252,0.268
-9.852e-04,0.99,0.97,-0.068,-0.076,0.2,0.184,0.244,0.236
-9.849e-04,1.01,1.01,-0.068,-0.052,0.2,0.208,0.244,0.26
-9.845e-04,0.99,0.97,-0.068,-0.084,0.192,0.176,0.244,0.228
-9.841e-04,0.99,1.01,-0.068,-0.06,0.192,0.2,0.244,0.252
-9.837e-04,1.01,0.97,-0.068,-0.084,0.184,0.168,0.236,0.22
-9.833e-04,0.99,1.01,-0.076,-0.06,0.184,0.192,0.228,0.244
-9.829e-04,0.97,0.97,-0.068,-0.084,0.176,0.16,0.228,0.212
-9.826e-04,1.01,1.01,-0.076,-0.06,0.168,0.184,0.228,0.236
-9.822e-04,0.99,0.97,-0.076,-0.076,0.176,0.16,0.228,0.212
-9.818e-04,0.99,1.03,-0.068,-0.06,0.168,0.184,0.22,0.236
-9.814e-04,0.99,0.97,-0.076,-0.084,0.168,0.152,0.22,0.204
-9.810e-04,0.99,1.03,-0.068,-0.06,0.16,0.176,0.22,0.228
-9.806e-04,0.99,0.97,-0.068,-0.084,0.168,0.144,0.212,0.196
-9.803e-04,0.99,1.01,-0.068,-0.06,0.152,0.168,0.204,0.22
-9.799e-04,0.99,0.97,-0.068,-0.084,0.152,0.136,0.204,0.188
-9.795e-04,0.99,1.03,-0.076,-0.06,0.152,0.16,0.196,0.212
-9.791e-04,1.01,0.97,-0.076,-0.092,0.152,0.128,0.196,0.18
-9.787e-04,1.01,1.03,-0.076,-0.06,0.144,0.16,0.196,0.204
-9.783e-04,1.01,0.97,-0.076,-0.092,0.144,0.12,0.188,0.172
-9.780e-04,0.97,1.03,-0.084,-0.068,0.136,0.152,0.188,0.204
-9.776e-04,1.01,0.97,-0.084,-0.092,0.136,0.12,0.18,0.172
-9.772e-04,0.99,1.03,-0.076,-0.068,0.128,0.144,0.188,0.196
-9.768e-04,0.99,0.97,-0.076,-0.092,0.136,0.12,0.18,0.164
-9.764e-04,1.01,1.03,-0.076,-0.068,0.128,0.144,0.18,0.196
-9.760e-04,1.01,0.97,-0.076,-0.084,0.128,0.112,0.172,0.156
-9.756e-04,0.99,1.01,-0.084,-0.068,0.128,0.136,0.18,0.188
-9.753e-04,1.01,0.97,-0.076,-0.092,0.12,0.104,0.172,0.156
-9.749e-04,1.01,1.03,-0.084,-0.068,0.12,0.136,0.164,0.18
-9.745e-04,0.99,0.97,-0.076,-0.092,0.12,0.104,0.164,0.148
-9.741e-04,1.01,1.01,-0.076,-0.068,0.112,0.128,0.156,0.172
-9.737e-04,0.99,0.97,-0.084,-0.092,0.112,0.096,0.164,0.14
-9.733e-04,1.01,1.01,-0.076,-0.068,0.104,0.12,0.156,0.164
-9.730e-04,0.99,0.97,-0.084,-0.092,0.112,0.096,0.148,0.14
-9.726e-04,0.99,1.03,-0.084,-0.076,0.104,0.112,0.148,0.164
-9.722e-04,0.99,0.97,-0.092,-0.092,0.104,0.088,0.156,0.14
-9.718e-04,0.99,1.01,-0.092,-0.068,0.096,0.112,0.14,0.164
-9.714e-04,0.99,0.97,-0.084,-0.092,0.096,0.08,0.148,0.132
-9.710e-04,0.99,1.01,-0.084,-0.068,0.104,0.104,0.148,0.156
-9.707e-04,0.99,0.97,-0.076,-0.092,0.096,0.08,0.14,0.132
-9.703e-04,0.99,1.01,-0.076,-0.068,0.088,0.104,0.14,0.156
-9.699e-04,0.99,0.97,-0.084,-0.092,0.088,0.072,0.148,0.124
-9.695e-04,0.99,1.01,-0.076,-0.068,0.088,0.104,0.148,0.156
-9.691e-04,0.99,0.99,-0.084,-0.092,0.088,0.072,0.14,0.124
-9.687e-04,1.01,1.03,-0.084,-0.068,0.088,0.096,0.14,0.148
-9.683e-04,0.99,0.97,-0.076,-0.092,0.08,0.064,0.148,0.124
-9.680e-04,1.01,1.01,-0.084,-0.068,0.08,0.088,0.14,0.148
-9.676e-04,0.99,0.97,-0.084,-0.092,0.088,0.064,0.14,0.116
-9.672e-04,0.99,1.03,-0.084,-0.076,0.08,0.088,0.124,0.14
-9.668e-04,0.99,0.97,-0.084,-0.1,0.08,0.064,0.124,0.108
-9.664e-04,1.01,1.01,-0.084,-0.076,0.072,0.088,0.124,0.14
-9.660e-04,0.99,0.97,-0.084,-0.092,0.064,0.064,0.124,0.108
-9.657e-04,1.01,1.03,-0.084,-0.076,0.072,0.08,0.124,0.132
-9.653e-04,0.99,0.97,-0.084,-0.1,0.064,0.056,0.124,0.1
-9.649e-04,0.99,1.01,-0.076,-0.076,0.064,0.08,0.116,0.132
-9.645e-04,0.99,0.97,-0.084,-0.1,0.064,0.048,0.116,0.1
-9.641e-04,0.99,1.01,-0.076,-0.068,0.064,0.072,0.116,0.124
-9.637e-04,1.01,0.99,-0.076,-0.1,0.064,0.048,0.108,0.1
-9.634e-04,0.99,1.03,-0.084,-0.076,0.056,0.072,0.108,0.124
-9.630e-04,0.99,0.97,-0.084,-0.092,0.056,0.048,0.108,0.1
-9.626e-04,0.99,1.03,-0.076,-0.068,0.064,0.072,0.116,0.116
-9.622e-04,0.99,0.97,-0.076,-0.092,0.064,0.04,0.108,0.092
-9.618e-04,1.01,1.03,-0.084,-0.076,0.056,0.064,0.108,0.116
-9.614e-04,0.99,0.97,-0.076,-0.1,0.056,0.04,0.108,0.092
-9.611e-04,0.99,1.03,-0.084,-0.076,0.056,0.064,0.108,0.116
-9.607e-04,0.99,0.97,-0.084,-0.1,0.056,0.04,0.1,0.084
-9.603e-04,1.01,1.01,-0.076,-0.076,0.048,0.064,0.1,0.108
-9.599e-04,1.01,0.97,-0.084,-0.1,0.04,0.032,0.092,0.084
-9.595e-04,1.01,1.03,-0.084,-0.076,0.048,0.064,0.092,0.108
-9.591e-04,0.99,0.97,-0.084,-0.1,0.048,0.032,0.1,0.076
-9.587e-04,1.01,1.03,-0.092,-0.076,0.056,0.056,0.092,0.108
-9.584e-04,0.99,0.99,-0.084,-0.1,0.048,0.032,0.1,0.084
-9.580e-04,1.01,1.03,-0.092,-0.076,0.04,0.056,0.092,0.1
-9.576e-04,0.99,0.97,-0.092,-0.1,0.04,0.032,0.092,0.076
-9.572e-04,0.99,1.03,-0.084,-0.076,0.04,0.056,0.092,0.1
-9.568e-04,0.99,0.97,-0.084,-0.1,0.048,0.024,0.084,0.076
-9.564e-04,0.99,1.01,-0.092,-0.076,0.04,0.048,0.092,0.1
-9.561e-04,0.99,0.97,-0.084,-0.1,0.048,0.024,0.084,0.076
-9.557e-04,1.01,1.01,-0.084,-0.076,0.04,0.048,0.092,0.1
-9.553e-04,1.01,0.97,-0.092,-0.1,0.04,0.016,0.084,0.068
-9.549e-04,1.01,1.03,-0.084,-0.076,0.04,0.048,0.092,0.1
-9.545e-04,1.01,0.99,-0.084,-0.1,0.032,0.016,0.076,0.068
-9.541e-04,0.99,1.03,-0.092,-0.076,0.032,0.048,0.084,0.092
-9.538e-04,1.01,0.97,-0.084,-0.1,0.032,0.024,0.084,0.068
-9.534e-04,1.01,1.03,-0.084,-0.076,0.032,0.048,0.084,0.092
-9.530e-04,1.01,0.99,-0.092,-0.1,0.032,0.016,0.084,0.068
-9.526e-04,1.01,1.03,-0.084,-0.076,0.024,0.04,0.076,0.092
-9.522e-04,0.99,0.97,-0.084,-0.1,0.032,0.016,0.076,0.068
-9.518e-04,1.01,1.03,-0.092,-0.076,0.024,0.04,0.076,0.084
-9.515e-04,0.99,0.99,-0.084,-0.1,0.032,0.016,0.076,0.068
-9.511e-04,1.01,1.03,-0.092,-0.076,0.032,0.04,0.084,0.084
-9.507e-04,0.99,0.99,-0.084,-0.1,0.032,0.016,0.076,0.06
-9.503e-04,1.01,1.03,-0.092,-0.076,0.024,0.04,0.076,0.084
-9.499e-04,1.01,0.99,-0.084,-0.1,0.024,0.016,0.084,0.06
-9.495e-04,1.01,1.03,-0.084,-0.076,0.024,0.04,0.068,0.084
-9.491e-04,1.01,0.99,-0.076,-0.092,0.024,0.008,0.076,0.06
-9.488e-04,1.01,1.03,-0.084,-0.076,0.024,0.032,0.076,0.084
-9.484e-04,1.01,0.97,-0.092,-0.1,0.024,0.008,0.068,0.06
-9.480e-04,1.01,1.03,-0.092,-0.076,0.016,0.032,0.068,0.084
-9.476e-04,0.99,0.97,-0.092,-0.1,0.016,-1.78814e-10,0.06,0.052
-9.472e-04,1.01,1.03,-0.084,-0.076,0.024,0.032,0.068,0.084
-9.468e-04,0.99,0.99,-0.092,-0.1,0.016,-1.78814e-10,0.06,0.052
-9.465e-04,1.01,1.03,-0.092,-0.076,0.016,0.032,0.068,0.076
-9.461e-04,0.99,0.97,-0.092,-0.1,0.016,0.008,0.06,0.052
-9.457e-04,0.99,1.01,-0.092,-0.076,0.024,0.024,0.06,0.076
-9.453e-04,0.99,0.97,-0.092,-0.1,0.016,-1.78814e-10,0.068,0.052
-9.449e-04,1.01,1.03,-0.092,-0.076,0.016,0.024,0.052,0.076
-9.445e-04,0.99,0.99,-0.084,-0.1,0.016,-1.78814e-10,0.06,0.044
-9.442e-04,0.99,1.03,-0.092,-0.076,0.016,0.024,0.06,0.068
-9.438e-04,1.01,0.99,-0.092,-0.1,0.008,-1.78814e-10,0.06,0.044
-9.434e-04,1.01,1.03,-0.092,-0.076,0.016,0.024,0.068,0.068
-9.430e-04,0.99,0.97,-0.092,-0.1,0.008,-0.008,0.068,0.044
-9.426e-04,1.01,1.03,-0.092,-0.076,0.008,0.024,0.06,0.068
-9.422e-04,1.01,0.97,-0.092,-0.1,0.016,-1.78814e-10,0.052,0.044
-9.419e-04,1.01,1.03,-0.092,-0.084,0.008,0.016,0.052,0.068
-9.415e-04,1.01,0.97,-0.092,-0.1,0.008,-0.008,0.06,0.044
-9.411e-04,0.99,1.01,-0.092,-0.084,-1.78814e-10,0.016,0.052,0.068
-9.407e-04,1.01,0.97,-0.084,-0.1,0.008,-1.78814e-10,0.052,0.044
-9.403e-04,0.99,1.01,-0.092,-0.076,0.008,0.016,0.052,0.068
-9.399e-04,0.99,0.97,-0.092,-0.1,0.008,-1.78814e-10,0.06,0.036
-9.395e-04,0.99,1.03,-0.092,-0.084,0.016,0.016,0.052,0.068
-9.392e-04,1.03,0.97,-0.092,-0.1,0.008,-1.78814e-10,0.052,0.044
-9.388e-04,1.01,1.03,-0.092,-0.076,0.016,0.016,0.052,0.068
-9.384e-04,1.01,0.99,-0.076,-0.1,0.008,-0.008,0.052,0.044
-9.380e-04,1.01,1.03,-0.084,-0.076,-1.78814e-10,0.016,0.06,0.068
-9.376e-04,1.01,0.99,-0.084,-0.1,-1.78814e-10,-0.008,0.052,0.036
-9.372e-04,0.99,1.03,-0.092,-0.084,-1.78814e-10,0.016,0.052,0.06
-9.369e-04,1.01,0.99,-0.092,-0.1,0.008,-0.008,0.06,0.036
-9.365e-04,0.99,1.03,-0.092,-0.076,0.008,0.016,0.052,0.06
-9.361e-04,1.01,0.99,-0.092,-0.1,0.008,-0.008,0.052,0.036
-9.357e-04,0.99,1.03,-0.084,-0.076,-1.78814e-10,0.016,0.052,0.06
-9.353e-04,1.01,0.99,-0.084,-0.1,0.008,-0.008,0.052,0.036
-9.349e-04,0.99,1.03,-0.084,-0.076,0.008,0.016,0.052,0.068
-9.346e-04,0.99,0.97,-0.084,-0.1,-1.78814e-10,-0.008,0.052,0.036
-9.342e-04,1.01,1.03,-0.092,-0.084,0.008,0.016,0.052,0.06
-9.338e-04,0.99,0.97,-0.092,-0.1,-1.78814e-10,-0.008,0.044,0.028
-9.334e-04,0.99,1.03,-0.092,-0.084,-1.78814e-10,0.016,0.052,0.06
-9.330e-04,0.99,0.99,-0.092,-0.1,-1.78814e-10,-0.008,0.044,0.036
-9.326e-04,1.01,1.03,-0.092,-0.076,-1.78814e-10,0.016,0.052,0.06
-9.323e-04,1.01,0.99,-0.084,-0.1,-1.78814e-10,-0.008,0.044,0.028
-9.319e-04,0.99,1.03,-0.092,-0.076,-0.008,0.016,0.044,0.06
-9.315e-04,1.01,0.99,-0.1,-0.1,-0.008,-0.016,0.052,0.028
-9.311e-04,1.01,1.03,-0.084,-0.084,-0.008,0.008,0.052,0.052
-9.307e-04,1.01,0.97,-0.092,-0.1,-0.008,-0.008,0.044,0.028
