




Relative time,Ch1,Ch2
s,V,V
0.032786,-4.2843139,-3.3960786
0.032788,-4.1225492,0.36960786
0.03279,-4.1176472,0.40784316
0.032792,-3.7598041,0.39117649
0.032794,-3.6911766,0.36176473
0.032796,-4.3039217,0.34803924
0.032798,-4.5000002,0.34117649
0.0328,-4.4901962,0.32450982
0.032802,-4.6029413,0.30686276
0.032804,-4.5686276,0.30588237
0.032806,-4.6127453,0.28431374
0.032808,-4.5000002,0.27352943
0.03281,-4.0539217,0.27058825
0.032812,-3.2205883,0.26372551
0.032814,-2.9068628,0.25000001
0.032816,-2.8578432,0.23823531
0.032818,-2.764706,0.22941178
0.03282,-2.6078432,0.23235295
0.032822,-2.4803922,0.21666668
0.032824,-2.2745099,0.2137255
0.032826,-2.1862746,0.21274511
0.032828,-1.9656863,0.21274511
0.03283,-1.8431373,0.19607844
0.032832,-1.8480393,0.19019609
0.032834,-1.8578432,0.18725491
0.032836,-1.8676471,0.17352942
0.032838,-1.8627452,0.16568628
0.03284,-1.7892157,0.16176472
0.032842,-1.7450981,0.15784315
0.032844,-1.8137256,0.15686275
0.032846,-1.6764706,0.16470589
0.032848,-1.7450981,0.1637255
0.03285,-1.7205883,0.14803922
0.032852,-1.7745099,0.15294119
0.032854,-1.7941177,0.14411766
0.032856,-1.6764706,0.13137256
0.032858,-1.7107844,0.13431373
0.03286,-1.6470589,0.13333334
0.032862,-1.6176471,0.14117648
0.032864,-1.6813726,0.1382353
0.032866,-1.6225491,0.12941177
0.032868,-1.6225491,0.11764707
0.03287,-1.632353,0.11176471
0.032872,-1.6176471,0.10980393
0.032874,-1.5735295,0.10490197
0.032876,-1.5539216,0.10784314
0.032878,-1.5196079,0.1009804
0.03288,-1.5490197,0.095098045
0.032882,-1.5000001,0.098039221
0.032884,-1.5490197,0.096078437
0.032886,-1.4411765,0.088235299
0.032888,-1.3578432,0.090196084
0.03289,-1.3529412,0.086274515
0.032892,-1.387255,0.078431377
0.032894,-1.3921569,0.067647063
0.032896,-1.4019608,0.075490201
0.032898,-1.3725491,0.069607847
0.0329,-1.4362746,0.06176471
0.032902,-1.2696079,0.064705886
0.032904,-1.3382353,0.065686278
0.032906,-1.4264706,0.058823533
0.032908,-1.2745098,0.062745102
0.03291,-1.3186275,0.064705886
0.032912,-1.3039216,0.064705886
0.032914,-1.2647059,0.067647063
0.032916,-1.254902,0.067647063
0.032918,-1.2794118,0.058823533
0.03292,-1.2009804,0.051960787
0.032922,-1.1421569,0.04411765
0.032924,-1.2450981,0.050000003
0.032926,-1.1911765,0.051960787
0.032928,-1.1715687,0.042156865
0.03293,-1.2205883,0.054901964
0.032932,-1.1127451,0.038235296
0.032934,-1.1078432,0.040196081
0.032936,-1.0833334,0.029411766
0.032938,-1.2205883,0.03529412
0.03294,-1.0392157,0.048039219
0.032942,-1.0637255,0.031372551
0.032944,-1.0392157,0.027450982
0.032946,-0.99019611,0.024509805
0.032948,-1.0294118,0.030392159
0.03295,-1.0784314,0.032352943
0.032952,-1.0147059,0.023529413
0.032954,-1.004902,0.037254904
0.032956,-0.96078435,0.024509805
0.032958,-1.004902,0.015686275
0.03296,-0.93137258,0.01764706
0.032962,-0.92156866,0.020588237
0.032964,-0.89705886,0.020588237
0.032966,-0.86764709,0.029411766
0.032968,-0.86274513,0.014705883
0.03297,-0.86274513,0.027450982
0.032972,-0.89705886,0.024509805
0.032974,-0.86764709,0.022549021
0.032976,-0.84313728,0.022549021
0.032978,-0.85784317,0.020588237
0.03298,-0.81372552,0.023529413
0.032982,-0.82352944,0.01764706
0.032984,-0.87745101,0.016666668
0.032986,-0.73529414,0.025490198
0.032988,-0.84803925,0.012745099
0.03299,-0.73529414,0.010784314
0.032992,-0.77450983,0.011764707
0.032994,-0.8039216,0.0088235299
0.032996,-0.65686277,0.016666668
0.032998,-0.72058826,0.012745099
0.033,-0.68137257,-0.0058823533
0.033002,-0.62254904,-0.0019607844
0.033004,-0.6029412,-0.0049019611
0.033006,-0.64705885,-0.0019607844
0.033008,-0.68627453,-0.0098039221
0.03301,-0.66666669,-0.019607844
0.033012,-0.55392159,-0.0068627455
0.033014,-0.57843139,0.0019607844
0.033016,-0.68627453,-0.0039215689
0.033018,-0.62254904,0.0068627455
0.03302,-0.46078433,0
0.033022,-0.55882355,-0.0078431377
0.033024,-0.60784316,0.0029411766
0.033026,-0.56862747,-0.0078431377
0.033028,-0.43627453,0.016666668
0.03303,-0.4901961,-0.0039215689
0.033032,-0.48039217,0.0068627455
0.033034,-0.51960786,0.0068627455
0.033036,-0.43627453,-0.0098039221
0.033038,-0.38235295,0.0029411766
0.03304,-0.37745099,0
0.033042,-0.37254903,0.0019607844
0.033044,-0.34313727,-0.010784314
0.033046,-0.35784315,-0.0029411766
0.033048,-0.39705884,-0.0078431377
0.03305,-0.31862746,-0.0029411766
0.033052,-0.31862746,-0.0019607844
0.033054,-0.26470589,-0.0058823533
0.033056,-0.30392158,-0.013725491
0.033058,-0.32843138,-0.0019607844
0.03306,-0.24019609,-0.01764706
0.033062,-0.25490197,-0.014705883
0.033064,-0.26470589,-0.0088235299
0.033066,-0.30882354,-0.01764706
0.033068,-0.3137255,-0.023529413
0.03307,-0.19607844,-0.018627452
0.033072,-0.20588236,-0.013725491
0.033074,-0.1127451,-0.0068627455
0.033076,-0.098039219,-0.016666668
0.033078,-0.12254902,-0.0078431377
0.03308,-0.13235295,-0.012745099
0.033082,-0.12745098,0.0029411766
0.033084,-0.068627453,0.0019607844
0.033086,-0.078431375,-0.0019607844
0.033088,-0.11764706,0.00098039221
0.03309,-0.029411766,-0.0039215689
0.033092,-0.04901961,-0.010784314
0.033094,-0.0098039219,-0.013725491
0.033096,-0.019607844,-0.010784314
0.033098,-0.078431375,-0.013725491
0.0331,0.078431375,-0.0098039221
0.033102,0.058823531,-0.0068627455
0.033104,-0.034313727,-0.018627452
0.033106,0.098039219,-0.0078431377
0.033108,0.053921571,-0.010784314
0.03311,-0.034313727,-0.012745099
0.033112,0.029411766,-0.023529413
0.033114,0.17647059,-0.016666668
0.033116,0.15686275,-0.013725491
0.033118,0.068627453,-0.019607844
0.03312,0.083333336,-0.019607844
0.033122,0.15686275,-0.011764707
0.033124,0.27450981,-0.014705883
0.033126,0.15196079,-0.013725491
0.033128,0.16666667,-0.013725491
0.03313,0.12254902,-0.018627452
0.033132,0.27450981,-0.023529413
0.033134,0.16176471,-0.0098039221
0.033136,0.23529413,-0.0078431377
0.033138,0.24509805,-0.0058823533
0.03314,0.32843138,-0.0078431377
0.033142,0.30392158,-0.010784314
0.033144,0.24509805,0
0.033146,0.36764707,-0.0078431377
0.033148,0.29901962,-0.0068627455
0.03315,0.32352942,-0.0098039221
0.033152,0.33823531,-0.011764707
0.033154,0.36274511,0.0019607844
0.033156,0.43137256,-0.015686275
0.033158,0.46568629,-0.011764707
0.03316,0.43137256,-0.014705883
0.033162,0.38725492,-0.0058823533
0.033164,0.39705884,0
0.033166,0.41176472,-0.014705883
0.033168,0.49509806,-0.019607844
0.03317,0.39705884,-0.015686275
0.033172,0.50980394,-0.018627452
0.033174,0.44607845,-0.015686275
0.033176,0.51960786,-0.033333335
0.033178,0.54411767,-0.011764707
0.03318,0.46078433,-0.014705883
0.033182,0.55392159,-0.016666668
0.033184,0.46078433,-0.018627452
0.033186,0.60784316,-0.015686275
0.033188,0.58823531,-0.010784314
0.03319,0.51960786,-3.8441179
0.033192,0.52450982,-3.8039218
0.033194,0.64705885,-3.7813728
0.033196,0.56862747,-3.7500002
0.033198,0.68627453,-3.7441179
0.0332,0.62254904,-3.7333336
0.033202,0.57352943,-3.7215688
0.033204,0.4264706,-3.7186277
0.033206,0.39705884,-3.7029414
0.033208,0.24019609,-3.6862747
0.03321,0.16176471,-3.6764708
0.033212,0.10294118,-3.6735296
0.033214,-0.039215688,-3.6666669
0.033216,-0.17156863,-3.6607845
0.033218,-0.2892157,-3.6529414
0.03322,-0.39705884,-3.6450983
0.033222,-0.50490198,-3.6421571
0.033224,-0.75980395,-3.6401963
0.033226,-0.9166667,-3.6303924
0.033228,-0.99509807,-3.6196081
0.03323,-1.2450981,-3.6303924
0.033232,-1.4362746,-3.6205884
0.033234,-1.7794118,-3.6137257
0.033236,-1.9509805,-3.6098041
0.033238,-2.1519609,-3.6029414
0.03324,-2.3284315,-3.5980394
0.033242,-2.4411766,-3.5931375
0.033244,-2.5931373,-3.5872551
0.033246,-2.6176472,-3.5725492
0.033248,-2.6813726,-3.5784316
0.03325,-2.6470589,-3.556863
0.033252,-2.6078432,-3.547059
0.033254,-2.6862746,-3.551961
0.033256,-2.5735295,-3.5490198
0.033258,-2.6813726,-3.5441179
0.03326,-2.6764707,-3.5401963
0.033262,-2.6666668,-3.5421571
0.033264,-2.6519609,-3.5333335
0.033266,-2.7058824,-3.5352943
0.033268,-2.7892158,-3.5333335
0.03327,-2.8480393,-3.5235296
0.033272,-2.7843138,-3.5254904
0.033274,-2.8088236,-3.5147061
0.033276,-2.7303923,-3.5196081
0.033278,-2.7254903,-3.5078433
0.03328,-2.9019609,-3.5078433
0.033282,-2.887255,-3.506863
0.033284,-2.8725491,-3.5049022
0.033286,-2.8578432,-3.5088237
0.033288,-2.8627452,-3.4990198
0.03329,-2.8774511,-3.5009806
0.033292,-2.8480393,-3.4872551
0.033294,-2.9117648,-3.4921571
0.033296,-2.9460785,-3.4852943
0.033298,-2.9411766,-3.4941179
0.0333,-2.9950981,-3.479412
0.033302,-2.9509805,-3.4735296
0.033304,-3.0000001,-3.479412
0.033306,-2.8578432,-3.4666669
0.033308,-3.0882354,-3.4656865
0.03331,-3.014706,-3.4666669
0.033312,-3.0931374,-3.4539218
0.033314,-3.0784315,-3.4549022
0.033316,-3.0980393,-3.4617649
0.033318,-3.0588236,-3.4382355
0.03332,-2.9852942,-3.4558826
0.033322,-3.1470589,-3.4509806
0.033324,-3.0882354,-3.4460786
0.033326,-3.1862746,-3.4411767
0.033328,-3.2254903,-3.4431375
0.03333,-3.1862746,-3.447059
0.033332,-3.1519609,-3.4578433
0.033334,-3.2009805,-3.4460786
0.033336,-3.137255,-3.4401963
0.033338,-3.2401962,-3.4431375
0.03334,-3.1960785,-3.4411767
0.033342,-3.3039217,-3.4411767
0.033344,-3.264706,-3.4382355
0.033346,-3.2156864,-3.4362747
0.033348,-3.3725491,-3.4352943
0.03335,-3.2794119,-3.4333335
0.033352,-3.2941178,-3.429412
0.033354,-3.259804,-3.4284316
0.033356,-3.4264707,-3.4284316
0.033358,-3.3480393,-3.4323531
0.03336,-3.4215687,-3.419608
0.033362,-3.4362746,-3.4215688
0.033364,-3.3529413,-3.4215688
0.033366,-3.3823531,-3.4264708
0.033368,-3.4264707,-3.4156865
0.03337,-3.3186276,-3.4186277
0.033372,-3.4901962,-3.4127453
0.033374,-3.4166668,-3.4088237
0.033376,-3.4950982,-3.4117649
0.033378,-3.4509805,-3.4078433
0.03338,-3.4607844,-3.4107845
0.033382,-3.4607844,-3.4000002
0.033384,-3.519608,-3.4127453
0.033386,-3.4852942,-3.4068629
0.033388,-3.4460786,-3.4186277
0.03339,-3.5539217,-3.3950982
0.033392,-3.6666668,-3.4156865
0.033394,-3.4901962,-3.4009806
0.033396,-3.5245099,-3.3980394
0.033398,-3.6568629,-3.4078433
0.0334,-3.6813727,-3.4137257
0.033402,-3.6764707,-3.3960786
0.033404,-3.6274511,-3.4068629
0.033406,-3.7058825,-3.3901963
0.033408,-3.7254903,-3.3980394
0.03341,-3.5686276,-3.401961
0.033412,-3.6617648,-3.397059
0.033414,-3.6029413,-3.397059
0.033416,-3.7058825,-3.4058826
0.033418,-3.769608,-3.3921571
0.03342,-3.6960786,-3.3901963
0.033422,-3.7794119,-3.3960786
0.033424,-3.7794119,-3.3911767
0.033426,-3.7892158,-3.397059
0.033428,-3.7058825,-3.3852943
0.03343,-3.8333335,-3.3833335
0.033432,-3.7450982,-3.3921571
0.033434,-3.8382354,-3.3892159
0.033436,-3.8578433,-3.3960786
0.033438,-3.8235295,-3.3774512
0.03344,-3.8431374,-3.3862747
0.033442,-3.887255,-3.3833335
0.033444,-3.8529413,-3.3882355
0.033446,-3.9460786,-3.379412
0.033448,-3.9656864,-3.3823531
0.03345,-3.9068629,-3.3882355
0.033452,-3.9068629,-3.3833335
0.033454,-3.9950982,-3.3862747
0.033456,-3.9803923,-3.3833335
0.033458,-4.019608,-3.3872551
