




Relative time,Ch1,Ch2
s,V,V
0.016394,-5.6862747,-3.4539218
0.016395,-5.6789218,-3.4460786
0.016396,-5.5759806,-3.447059
0.016397,-5.6887257,-3.4509806
0.016398,-5.8799022,-3.4343139
0.016399,-5.9803924,-3.4431375
0.0164,-6.1985296,-3.4392159
0.016401,-6.3063728,-3.429412
0.016402,-6.4926473,-3.4411767
0.016403,-6.6299022,-3.4274512
0.016404,-6.8014708,-3.4313728
0.016405,-6.9705885,-3.4352943
0.016406,-7.0808826,-3.4313728
0.016407,-7.2034316,-3.4254904
0.016408,-7.4558826,-3.4254904
0.016409,-7.5833336,-3.3137257
0.01641,-7.6446081,-3.4352943
0.016411,-8.0122552,-3.429412
0.016412,-8.2671572,-3.4205884
0.016413,-8.4509807,-3.4186277
0.016414,-8.289216,-3.4166669
0.016415,-7.789216,-3.4754904
0.016416,-7.2303924,-3.4215688
0.016417,-6.7181375,-3.4176473
0.016418,-6.52451,-3.419608
0.016419,-6.7475493,-3.4137257
0.01642,-6.9779414,-3.4107845
0.016421,-7.0490199,-3.419608
0.016422,-7.1813728,-3.4039218
0.016423,-7.1666669,-3.4068629
0.016424,-7.2107846,-3.419608
0.016425,-7.2303924,-3.4068629
0.016426,-7.2745101,-3.4049022
0.016427,-7.2352944,-3.4156865
0.016428,-7.3578434,-3.4068629
0.016429,-7.3284316,-3.4166669
0.01643,-7.2916669,-3.4068629
0.016431,-7.2892159,-3.4058826
0.016432,-7.3553924,-3.4156865
0.016433,-7.2745101,-3.4029414
0.016434,-7.3578434,-3.4009806
0.016435,-7.411765,-3.4088237
0.016436,-7.3774512,-3.3960786
0.016437,-7.3382356,-3.401961
0.016438,-7.3529414,-3.4009806
0.016439,-7.3357846,-3.4000002
0.01644,-7.4142159,-3.4058826
0.016441,-7.3725493,-3.4039218
0.016442,-7.4558826,-3.3931375
0.016443,-7.3406865,-3.4088237
0.016444,-7.3970591,-3.397059
0.016445,-7.4877454,0.4401961
0.016446,-7.6495101,0.4029412
0.016447,-7.531863,0.37647061
0.016448,-7.3872552,0.38137257
0.016449,-7.2328434,0.37549022
0.01645,-7.2500003,0.36078434
0.016451,-7.4191179,0.34509806
0.016452,-7.8308826,0.34509806
0.016453,-8.0857846,0.33725492
0.016454,-8.2401964,0.33725492
0.016455,-8.3480395,0.33921571
0.016456,-8.3308826,0.32254904
0.016457,-8.3676474,0.327451
0.016458,-8.4607846,0.32156865
0.016459,-8.4754905,0.31372551
0.01646,-8.4313728,0.30294119
0.016461,-8.4754905,0.30098041
0.016462,-8.4681376,0.30588237
0.016463,-8.5098042,-3.2950982
0.016464,-8.1348042,-3.5205884
0.016465,-7.7156865,-3.497059
0.016466,-7.2303924,-3.4990198
0.016467,-6.8578434,-3.4911767
0.016468,-6.5416669,-3.4921571
0.016469,-6.1740198,-3.4774512
0.01647,-5.89951,-3.4715688
0.016471,-5.8750002,-3.4637257
0.016472,-5.779412,-3.4588237
0.016473,-5.772059,-3.4725492
0.016474,-5.7475492,-3.4588237
0.016475,-5.7573531,-3.451961
0.016476,-5.6789218,-3.4578433
0.016477,-5.6887257,-3.4460786
0.016478,-5.7450982,-3.4431375
0.016479,-5.7500002,-3.4588237
0.01648,-5.7132355,-3.4450982
0.016481,-5.7671571,-3.4431375
0.016482,-5.7671571,-3.4352943
0.016483,-5.7303924,-3.4441179
0.016484,-5.8921571,-3.4333335
0.016485,-6.0490198,-3.4392159
0.016486,-6.14951,-3.4323531
0.016487,-6.3259806,-3.4343139
0.016488,-6.4705885,-3.429412
0.016489,-6.6764708,-3.4343139
0.01649,-6.8063728,-3.429412
0.016491,-7.0098042,-3.4235296
0.016492,-7.2230395,-3.4372551
0.016493,-7.4215689,-3.4617649
0.016494,-7.659314,-3.4274512
0.016495,-8.0637258,-3.4333335
0.016496,-8.3700983,-3.4215688
0.016497,-8.4019611,-3.4284316
0.016498,-7.8382356,-3.3598041
0.016499,-7.3627454,-3.4225492
0.0165,-6.8063728,-3.4274512
0.016501,-6.5637257,-3.4156865
0.016502,-6.7892159,-3.4225492
0.016503,-6.8774512,-3.4176473
0.016504,-7.0416669,-3.4205884
0.016505,-7.1887257,-3.4225492
0.016506,-7.2132355,-3.4127453
0.016507,-7.2181375,-3.4254904
0.016508,-7.2279414,-3.4176473
0.016509,-7.3259807,-3.4127453
0.01651,-7.3602944,-3.4098041
0.016511,-7.3063728,-3.4088237
0.016512,-7.3014708,-3.4039218
0.016513,-7.3627454,-3.4186277
