
Relative time,Ch1,Ch2
s,V,V
0.017654,-11.475491,0.32058825
0.017655,-11.475491,0.45882356
0.017656,-11.514706,0.47156866
0.017657,-11.504902,0.4656863
0.017658,-11.485295,0.46078434
0.017659,-11.068628,0.45490199
0.01766,-11.397059,0.44705885
0.017661,-11.495098,0.43823532
0.017662,-11.514706,0.42156865
0.017663,-11.52451,0.42254904
0.017664,-11.382353,0.42156865
0.017665,-11.465687,0.41960787
0.017666,-11.52451,0.41078434
0.017667,-11.431373,0.41078434
0.017668,-11.504902,0.39705885
0.017669,-11.377451,0.39803924
0.01767,-11.441177,0.38921571
0.017671,-11.455883,0.38823532
0.017672,-11.362746,0.37450983
0.017673,-10.441177,0.3656863
0.017674,-9.9362749,0.37058826
0.017675,-9.7009807,0.37352943
0.017676,-9.6568631,0.37156865
0.017677,-9.5000003,0.34901963
0.017678,-9.3872552,0.35686277
0.017679,-9.2401964,0.34411767
0.01768,-8.9852944,0.33921571
0.017681,-8.8088238,0.33529414
0.017682,-8.7352944,0.32843139
0.017683,-8.6813729,0.34313728
0.017684,-8.5147062,0.33725492
0.017685,-8.4950983,0.32941178
0.017686,-8.406863,0.32352943
0.017687,-8.4656866,0.32941178
0.017688,-8.3725493,0.33235296
0.017689,-8.3676474,-3.2490198
0.01769,-8.3921572,-3.4049022
0.017691,-8.4460787,-3.4117649
0.017692,-8.284314,-3.4088237
0.017693,-8.3774513,-3.4029414
0.017694,-8.2352944,-3.3960786
0.017695,-8.3333336,-3.3931375
0.017696,-8.3284317,-3.3872551
0.017697,-8.2352944,-3.37451
0.017698,-8.3039219,-3.37451
0.017699,-8.2745101,-3.3656865
0.0177,-8.2352944,-3.369608
0.017701,-8.2352944,-3.3607845
0.017702,-8.1225493,-3.3509806
0.017703,-8.2205885,-3.3568629
0.017704,-8.1372552,-3.3539218
0.017705,-8.1813728,-3.3509806
0.017706,-8.1470591,-3.3529414
0.017707,-8.1715689,-3.351961
0.017708,-8.1421572,-3.3450982
0.017709,-8.0784317,-3.3274512
0.01771,-8.1078434,-3.3343139
0.017711,-8.3627454,-3.3372551
0.017712,-8.5147062,-3.3450982
0.017713,-8.661765,-3.3392159
0.017714,-8.911765,-3.3333335
0.017715,-9.2549023,-3.3284316
0.017716,-9.5931376,-3.3205884
0.017717,-9.8333337,-3.3235296
0.017718,-10.171569,-3.3186276
0.017719,-10.426471,-3.3147061
0.01772,-10.612745,-3.3117649
0.017721,-10.852942,-3.3225492
0.017722,-11.117647,-3.3215688
